Residential|sale|Hyderabad|Andhra Pradesh|India|4 Bedroom, Independent House/Villa in Nizampet|210 north west corror  villa 2400sft comunete villa|12000000|266|4||2013-01-22||99acres.com|www.99acres.com/Independent-House/Villa-in-Nizampet-Hyderabad-4-Bedroom-bhk-for-Sale-spid-T8551547|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|2 Bedroom, Residential Apartment in Bowenpally|Contemporary styling in a heavenly ambienceYou will feel your spirits soar free when you step inside rv aadvik. the architecture is classy and con...|2739000|138|2||2013-01-22|http://mediacdn.99acres.com/293/7/5867100T-1345541525.jpeg|99acres.com|www.99acres.com/Residential-Apartment-Flat-in-Bowenpally-Secunderabad-2-Bedroom-bhk-for-Sale-spid-L7250281|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|2 Bedroom, Residential Apartment in Moosapet|PVR Heights - Kukatpally: Pvr heights consists of 2 & 3 bhk residential apartments which is located pretty close to the business district of kukatp...|3249000|120|2||2013-01-21|http://mediacdn.99acres.com/295/8/5908330T-1345890427.jpeg|99acres.com|www.99acres.com/Residential-Apartment-Flat-in-Moosapet-Hyderabad-2-Bedroom-bhk-for-Sale-spid-V7284609|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|Residential Land in Narapally|Plots available for sale at narapally, Ready for construction.Call us for site visit,|0|200|0||2013-01-22|http://mediacdn.99acres.com/3370/338/8/6768378T-1355505424.jpeg|99acres.com|www.99acres.com/Residential-Land-in-Narapally-Hyderabad-for-Sale-spid-Z8239865|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|3 Bedroom, Independent House/Villa in Shankarpally|Lahari, The people who know the art and science of hospitality inside out, Present a brand new concept in active and assisted living for seniors - ...|5001000|147|3||2013-01-21|http://mediacdn.99acres.com/3370/340/5/6805018T-1355919004.jpeg|99acres.com|www.99acres.com/Independent-House/Villa-in-Shankarpally-Greater Hyderabad-3-Bedroom-bhk-for-Sale-spid-T8279443|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|4 Bedroom, Independent House/Villa in Rajendra Nagar|Pavani's Harmony - Appa Junction Near Gachibowli: Pavani's harmony - specificationsR.C.C framed structureEarthquake resistant foundation with rcc...|12000000|388|4||2013-01-23|http://mediacdn.99acres.com/290/1/5801711T-1344591844.jpeg|99acres.com|www.99acres.com/Independent-House/Villa-in-Rajendra-Nagar-Hyderabad-4-Bedroom-bhk-for-Sale-spid-O7171121|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|3 Bedroom, Independent House/Villa in Bachupally|230syds,Ebhk,North face, Ready to occupy for  sale in gated community with all aminities.|9000000|305|3||2013-01-22|http://mediacdn.99acres.com/3370/351/2/7022558T-1358188505.jpeg|99acres.com|www.99acres.com/Independent-House/Villa-in-Bachupally-Hyderabad-3-Bedroom-bhk-for-Sale-spid-Z8474069|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|1 Bedroom, Residential Apartment in Miyapur|1 bhk flat for sale at mathrusri nagar, Miyapur. Flot area: 625 sqft,  Amenities:Car parking, Lift, Generator, Manjeera, All amenites or extra 2,00...|1780999|69|1||2013-01-22||99acres.com|www.99acres.com/Residential-Apartment-Flat-in-Miyapur-Hyderabad-1-Bedroom-bhk-for-Sale-spid-O8330067|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|2 Bedroom, Residential Apartment in Madinaguda|OverviewA fine cluster of 250 apartments, Each apartment is aesthetically designed and masterfully refined inviting you to start a comfortable liv...|3360000|133|2||2013-01-21|http://mediacdn.99acres.com/332/3/6643182T-1354651210.jpeg|99acres.com|www.99acres.com/Residential-Apartment-Flat-in-Madinaguda-Hyderabad-2-Bedroom-bhk-for-Sale-spid-L8099759|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|3 Bedroom, Residential Apartment in Bowenpally|Mahalaxmi Jewel - Bowenpally: Hyderabad is growing by the day and becoming a world class city. The infrastructure development like Outer ring road...|0|148|3||2013-01-22|http://mediacdn.99acres.com/3370/351/13/7033482T-1358321521.jpeg|99acres.com|www.99acres.com/Residential-Apartment-Flat-in-Bowenpally-Secunderabad-3-Bedroom-bhk-for-Sale-spid-T8512479|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|3 Bedroom, Residential Apartment in Nacharam|TNR's Vaishnovi - Nacharam, Near Habsiguda: Vaishnovi is located in the fast developing elite neighborhood of ravindra nagar, Nacharam very near to...|3440000|147|3||2013-01-21|http://mediacdn.99acres.com/3370/342/12/6852382T-1356361204.jpeg|99acres.com|www.99acres.com/Residential-Apartment-Flat-in-Nacharam-Secunderabad-3-Bedroom-bhk-for-Sale-spid-H8325929|2013-01-23 13:08:09 +0530
Residential|sale|Hyderabad|Andhra Pradesh|India|Residential Land in Narapally|Grandeur city is all about comfort living. Owning a lovely and comfortable home with extraordinary features is a dream. Grandeur city has been crea...|180000|200|0||2013-01-21|http://mediacdn.99acres.com/3370/349/3/6983454T-1357808585.jpeg|99acres.com|www.99acres.com/Residential-Land-in-Narapally-Hyderabad-for-Sale-spid-Z8461643|2013-01-23 13:08:09 +0530
