# Logfile created on 2012-12-04 11:55:48 +0530 by logger.rb/31641
Compiled jquery-ui.css  (0ms)  (pid 11545)
Compiled bootstrap.css  (0ms)  (pid 11545)
Compiled jquery.fancybox.css  (0ms)  (pid 11545)
Compiled application.css  (60ms)  (pid 11545)
Compiled jquery.js  (3ms)  (pid 11545)
Compiled jquery-ui.js  (97ms)  (pid 11545)
Compiled jquery_ujs.js  (0ms)  (pid 11545)
Compiled bootstrap.js  (0ms)  (pid 11545)
Compiled jquery.fancybox.js  (0ms)  (pid 11545)
Compiled application.js  (342ms)  (pid 11545)
Compiled home.css  (75ms)  (pid 11545)
Compiled home.js  (0ms)  (pid 11545)
Served asset /jquery-ui.css - 200 OK (4ms)
Served asset /bootstrap.css - 200 OK (3ms)
Served asset /jquery.fancybox.css - 200 OK (2ms)
Served asset /application.css - 200 OK (6ms)
Served asset /jquery.js - 304 Not Modified (4ms)
Served asset /jquery-ui.js - 200 OK (4ms)
Served asset /jquery_ujs.js - 304 Not Modified (3ms)
Served asset /bootstrap.js - 200 OK (2ms)
Served asset /jquery.fancybox.js - 200 OK (2ms)
Served asset /application.js - 200 OK (15ms)
Served asset /home.css - 200 OK (2ms)
Served asset /home.js - 200 OK (2ms)
Served asset /bg_pattern.png - 200 OK (16ms)
Served asset /jquery-ui.css - 304 Not Modified (6ms)
Served asset /bootstrap.css - 304 Not Modified (5ms)
Served asset /jquery.fancybox.css - 304 Not Modified (4ms)
Served asset /application.css - 304 Not Modified (5ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (1ms)
Served asset /jquery.fancybox.js - 304 Not Modified (31ms)
Served asset /application.js - 304 Not Modified (140ms)
Served asset /home.css - 304 Not Modified (8ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
